EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
0	06:58:45	0	0.1000	2.244780093346967	1.6082810163497925	0.8241	0.3115	0.4521
1	07:00:52	0	0.1000	1.7174128087797327	1.3066821098327637	0.8526	0.3708	0.5168
2	07:02:58	0	0.1000	1.5669057481061308	1.217157244682312	0.86	0.3851	0.532
3	07:05:02	0	0.1000	1.4582800696443745	1.1632702350616455	0.851	0.4012	0.5453
4	07:07:04	0	0.1000	1.3859308533835275	1.0236220359802246	0.8515	0.4383	0.5787
5	07:09:06	0	0.1000	1.3349773339321573	0.8984255790710449	0.7518	0.6372	0.6898
6	07:11:07	1	0.1000	1.2539157360397801	0.8283138871192932	0.8348	0.5589	0.6695
7	07:13:06	0	0.1000	1.2129098756664867	0.7828499674797058	0.8202	0.5978	0.6916
8	07:15:07	0	0.1000	1.1733323630290582	0.7347216606140137	0.8376	0.6121	0.7073
9	07:17:08	0	0.1000	1.1398141814258465	0.691663384437561	0.891	0.6135	0.7267
10	07:19:08	0	0.1000	1.0965374353956185	0.6269909739494324	0.8417	0.7094	0.7699
11	07:21:08	1	0.1000	1.0510530175468646	0.640384316444397	0.8911	0.6216	0.7323
12	07:23:05	0	0.1000	1.03111146159456	0.6027091145515442	0.7772	0.7849	0.781
13	07:25:06	0	0.1000	0.9872640438082088	0.5085183382034302	0.858	0.7745	0.8141
14	07:27:06	0	0.1000	0.95116142469453	0.4680930972099304	0.8686	0.7939	0.8296
15	07:29:07	1	0.1000	0.9280270620729838	0.48006004095077515	0.917	0.7189	0.806
16	07:31:05	0	0.1000	0.8950158175933113	0.4099811911582947	0.8888	0.8238	0.8551
17	07:33:05	1	0.1000	0.8593465517537355	0.4068857729434967	0.9166	0.7621	0.8322
18	07:35:03	0	0.1000	0.8519661075986626	0.34781450033187866	0.9147	0.8457	0.8788
19	07:37:04	1	0.1000	0.8125181867123101	0.33664223551750183	0.9371	0.8129	0.8706
20	07:39:03	0	0.1000	0.7833210001567587	0.31513163447380066	0.8876	0.9041	0.8958
21	07:41:04	1	0.1000	0.7710033334749408	0.289795845746994	0.9472	0.8352	0.8877
22	07:43:01	0	0.1000	0.7437088964735853	0.2566324770450592	0.9212	0.9098	0.9155
23	07:45:02	1	0.1000	0.7274511373674035	0.25760552287101746	0.9589	0.8428	0.8971
24	07:46:59	0	0.1000	0.6863449541235691	0.21239720284938812	0.9318	0.934	0.9329
25	07:49:00	0	0.1000	0.6634029651831814	0.17935925722122192	0.9396	0.9525	0.946
26	07:51:00	0	0.1000	0.6403214330371251	0.17179140448570251	0.9492	0.9592	0.9542
27	07:53:00	1	0.1000	0.6256674483333959	0.14716506004333496	0.9691	0.9392	0.9539
28	07:54:58	0	0.1000	0.6139903813741383	0.13469211757183075	0.955	0.9668	0.9609
29	07:56:59	0	0.1000	0.5964508185089198	0.12257850915193558	0.9683	0.9706	0.9694
